Gmin ['Gmin', 0.31, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.34, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.38, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.49, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.46, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.49, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.16, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.25, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.33, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.4, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.46, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.52, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.51, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.4, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.38, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.6, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.61, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.38, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.44, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.24, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.27, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.3, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.29, {'D', 'Bb', 'G'}, '']
Gmin ['Gmin', 0.23, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.24, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.54, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.25, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.5, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.27, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.5, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.25, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.49, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.45, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.29, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.33, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.23, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.31, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.3, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.34, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.22, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.24, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.28, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.25, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.34, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.23, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.26, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.28, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.33, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.3, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.57, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.55, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.32, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.24, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.44, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.57, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.26, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.51, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.24, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.29, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.21, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.26, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.32, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.25, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.24, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.54, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.56, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.65, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.25, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.16, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.52, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.5, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.49, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.38, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.34, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.5, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.37, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.52, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.46, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.53, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.59, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.38, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.4, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.3, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.38, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.44, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.61, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.26, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.6, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.24, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.3, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.36, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.23, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.6, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.65, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.31, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.25, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.27, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.28, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.5, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.5, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.54, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.23, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.33, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.31, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.34, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.3, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.12, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.2, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.23, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.34, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.3, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.3, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.26, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.51, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.57, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.24, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.44, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.33, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.31, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.32, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.53, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.49, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.24, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.29, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.24, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.34, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.65, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.25, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.56, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.25, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.54, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.32, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.16, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.25, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.46, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.49, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.49, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.5, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.36, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.52, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.59, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.53, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.52, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.37, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.51, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.33, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.4, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.36, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.3, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.65, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.29, {'D', 'Bb', 'G'}, '']
Gmin ['Gmin', 0.6, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.24, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.38, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.3, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.27, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.6, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.26, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.61, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.33, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.29, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.32, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.23, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.49, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.31, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.45, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.5, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.28, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.31, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.25, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.12, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.22, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.24, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.28, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.25, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.2, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.26, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.31, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.33, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.44, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.3, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.57, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.55, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.28, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.26, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.3, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.33, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.56, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.25, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.65, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.32, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.26, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.24, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.25, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.21, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.49, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.53, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.34, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.24, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.38, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.34, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.52, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.36, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.5, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.49, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.46, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.49, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.46, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.38, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.34, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.52, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.36, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.5, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.21, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.49, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.53, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.34, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.24, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.56, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.25, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.65, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.32, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.26, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.24, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.25, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.3, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.57, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.55, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.28, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.26, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.3, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.34, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.26, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.31, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.33, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.44, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.28, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.25, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.2, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.12, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.22, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.24, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.5, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.28, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.31, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.25, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.33, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.29, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.32, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.23, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.49, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.31, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.45, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.24, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.38, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.3, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.27, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.6, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.26, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.61, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.36, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.3, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.65, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.29, {'D', 'Bb', 'G'}, '']
Gmin ['Gmin', 0.6, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.52, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.37, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.51, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.33, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.4, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.59, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.53, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.49, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.5, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.36, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.52, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.16, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.25, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.46, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.49, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.65, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.25, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.56, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.25, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.54, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.32, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.53, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.49, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.24, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.29, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.24, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.34, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.51, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.57, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.24, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.44, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.33, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.31, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.32, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.3, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.3, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.26, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.23, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.34, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.2, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.12, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.34, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.3, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.23, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.33, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.31, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.31, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.25, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.27, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.28, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.5, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.5, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.54, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.24, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.3, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.36, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.23, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.6, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.65, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.3, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.38, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.44, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.61, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.26, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.6, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.53, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.59, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.38, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.4, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.51, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.37, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.52, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.46, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.53, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.59, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.37, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.4, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.33, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.3, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.36, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.29, {'D', 'Bb', 'G'}, '']
Gmin ['Gmin', 0.6, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.65, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.27, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.24, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.26, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.31, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.29, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.31, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.45, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.49, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.31, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.28, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.25, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.12, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.24, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.22, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.25, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.28, {'D', 'Bb', 'G'}, 'D']
Gmin ['Gmin', 0.2, {'D', 'Bb', 'G'}, 'Bb']
Gmin ['Gmin', 0.26, {'D', 'Bb', 'G'}, 'D']
